varenr,Frequency,,,
129106,450,,,
567008,448,,,
10035,447,,,
40857,447,,,
462036,443,,,
513937,442,,,
514265,441,,,
110635,439,,,
19234,438,,,
466086,436,,,
485128,434,,,
175950,433,,,
79442,432,,,
160439,432,,,
545814,430,,,
89862,429,,,
473272,426,,,
21667,426,,,
122895,426,,,
23168,425,,,
488007,424,,,
51110,424,,,
24281,423,,,
42168,422,,,
23649,420,,,
45387,419,,,
388892,419,,,
16361,419,,,
39805,419,,,
119198,418,,,
116749,416,,,
438770,416,,,
409524,416,,,
45460,414,,,
578807,413,,,
176214,412,,,
524694,412,,,
10002,411,,,
511865,411,,,
464941,409,,,
93435,409,,,
76725,408,,,
148274,407,,,
17266,407,,,
159517,407,,,
372607,407,,,
143119,407,,,
33251,406,,,
140384,405,,,
30163,405,,,
197186,404,,,
5507,404,,,
4480,404,,,
20950,403,,,
416222,402,,,
374348,402,,,
451690,401,,,
27058,400,,,
4293,399,,,
595215,398,,,
107052,398,,,
21492,397,,,
16557,397,,,
510732,396,,,
31963,396,,,
594439,396,,,
24930,395,,,
132290,395,,,
147934,394,,,
462127,393,,,
580092,393,,,
38828,392,,,
452904,391,,,
409425,391,,,
84824,390,,,
374231,390,,,
279,389,,,
646,386,,,
167840,385,,,
18144,385,,,
7769,385,,,
91751,385,,,
49544,385,,,
537498,384,,,
22440,384,,,
29010,384,,,
23901,382,,,
18022,382,,,
520882,382,,,
44642,380,,,
516021,379,,,
74922,377,,,
7760,377,,,
69105,376,,,
89152,376,,,
13296,376,,,
189233,375,,,
490854,375,,,
22144,374,,,
90662,374,,,
12109,374,,,
91043,373,,,
162149,372,,,
500645,370,,,
416883,370,,,
120931,370,,,
18277,369,,,
438432,369,,,
18227,368,,,
76024,368,,,
455485,368,,,
527523,367,,,
490284,366,,,
426395,365,,,
5155,365,,,
386151,364,,,
143677,363,,,
40287,361,,,
56212,359,,,
80465,359,,,
114447,357,,,
529362,356,,,
16315,355,,,
527390,354,,,
51425,354,,,
81208,353,,,
142364,353,,,
409632,353,,,
374538,352,,,
415174,351,,,
48941,350,,,
530741,349,,,
452920,348,,,
530899,348,,,
31997,347,,,
64378,345,,,
406678,344,,,
81996,344,,,
76115,344,,,
38252,344,,,
7505,343,,,
490805,342,,,
527622,339,,,
145482,339,,,
68188,338,,,
21345,337,,,
142927,336,,,
15312,336,,,
122903,336,,,
107219,336,,,
25491,336,,,
584979,335,,,
17196,335,,,
111496,335,,,
23982,334,,,
7120,334,,,
494138,334,,,
395723,333,,,
466227,333,,,
524710,332,,,
52100,332,,,
5988,332,,,
10076,331,,,
115409,330,,,
164141,330,,,
121046,329,,,
120691,329,,,
164595,328,,,
537811,328,,,
65264,328,,,
39823,328,,,
463273,327,,,
466045,327,,,
140327,326,,,
428441,326,,,
5600,326,,,
4370,326,,,
1786,325,,,
10671,325,,,
469957,325,,,
586065,324,,,
1908,324,,,
460071,322,,,
28209,320,,,
77735,320,,,
116509,319,,,
416792,319,,,
171884,319,,,
130574,318,,,
34253,317,,,
59969,317,,,
25090,316,,,
113039,314,,,
22796,314,,,
3087,314,,,
106260,314,,,
3983,313,,,
23641,312,,,
10428,312,,,
151007,311,,,
69799,311,,,
24253,311,,,
23767,310,,,
176974,310,,,
137364,310,,,
24273,310,,,
15037,309,,,
154253,309,,,
459743,308,,,
88260,308,,,
93521,307,,,
388389,306,,,
142075,306,,,
38370,306,,,
101378,305,,,
38406,305,,,
174565,304,,,
162885,304,,,
56241,303,,,
493700,303,,,
550616,302,,,
162808,302,,,
43448,302,,,
117564,301,,,
174144,301,,,
17834,301,,,
90645,301,,,
578815,301,,,
12131,301,,,
135434,298,,,
24993,297,,,
512606,297,,,
581850,297,,,
22199,296,,,
154708,296,,,
8066,296,,,
144808,296,,,
1191,295,,,
58768,295,,,
460303,295,,,
160523,295,,,
567263,294,,,
4921,294,,,
1937,293,,,
486274,293,,,
12898,292,,,
20170,292,,,
487579,292,,,
511832,290,,,
101307,290,,,
487280,290,,,
28589,290,,,
21808,289,,,
26076,289,,,
13909,288,,,
447441,288,,,
14499,288,,,
20129,287,,,
427765,287,,,
11204,286,,,
541425,286,,,
383794,285,,,
490243,285,,,
5711,285,,,
404426,284,,,
584856,284,,,
512731,284,,,
52929,284,,,
73429,283,,,
513549,283,,,
5108,283,,,
87759,283,,,
189514,281,,,
58040,281,,,
508622,281,,,
16998,281,,,
22513,280,,,
15176,280,,,
93505,279,,,
90159,279,,,
504761,279,,,
441535,278,,,
452201,278,,,
464370,278,,,
21617,278,,,
143412,278,,,
505438,278,,,
382333,277,,,
463828,277,,,
92577,276,,,
14060,276,,,
118281,276,,,
171629,275,,,
97133,275,,,
414037,274,,,
113030,274,,,
137513,274,,,
56732,274,,,
74224,274,,,
25595,274,,,
192864,273,,,
41848,273,,,
13104,273,,,
578823,273,,,
39814,273,,,
12310,273,,,
1025,272,,,
490029,272,,,
20457,272,,,
560367,272,,,
559948,271,,,
111062,271,,,
148263,271,,,
81964,271,,,
135913,271,,,
12630,270,,,
560235,270,,,
73022,270,,,
13660,269,,,
162841,269,,,
149732,269,,,
9894,269,,,
90118,269,,,
388330,268,,,
41951,268,,,
122762,266,,,
461393,266,,,
14028,266,,,
53991,266,,,
552232,266,,,
422162,265,,,
171215,265,,,
90623,265,,,
143727,264,,,
503755,264,,,
479626,264,,,
274,264,,,
489591,263,,,
391268,263,,,
27946,263,,,
449595,262,,,
81216,262,,,
154484,261,,,
23802,261,,,
174433,261,,,
41103,261,,,
167577,261,,,
10127,260,,,
1628,260,,,
510553,260,,,
593269,260,,,
136499,259,,,
446088,259,,,
155390,259,,,
28870,259,,,
468447,259,,,
14679,259,,,
8584,258,,,
23949,257,,,
504092,257,,,
117580,256,,,
60905,256,,,
8055,256,,,
534024,255,,,
2284,255,,,
103416,254,,,
162896,254,,,
423442,254,,,
579151,254,,,
65466,254,,,
424309,254,,,
27938,254,,,
38729,254,,,
490797,253,,,
136143,253,,,
42978,253,,,
38901,253,,,
375884,253,,,
100453,252,,,
414680,252,,,
503342,252,,,
374835,252,,,
74215,252,,,
51622,252,,,
20826,251,,,
6215,251,,,
454165,251,,,
12933,250,,,
446195,250,,,
76137,250,,,
4171,250,,,
5757,250,,,
22110,249,,,
59669,249,,,
77719,249,,,
411918,249,,,
453175,248,,,
23835,248,,,
8606,248,,,
559021,247,,,
122687,247,,,
525220,246,,,
60913,246,,,
41012,246,,,
76079,246,,,
431783,245,,,
516955,244,,,
111955,244,,,
585141,243,,,
20741,243,,,
24187,243,,,
139287,242,,,
22939,242,,,
51761,242,,,
102319,241,,,
159640,241,,,
40543,241,,,
19239,240,,,
471425,240,,,
13646,240,,,
584797,239,,,
8102,239,,,
92869,239,,,
428672,238,,,
440123,238,,,
399510,238,,,
479352,238,,,
454199,237,,,
95836,237,,,
55313,237,,,
40261,237,,,
75358,237,,,
415331,236,,,
441444,236,,,
1463,236,,,
116160,236,,,
58956,236,,,
101287,236,,,
79969,236,,,
485393,236,,,
45127,235,,,
76033,235,,,
90779,235,,,
4193,235,,,
444315,235,,,
61424,234,,,
3228,234,,,
60097,233,,,
24336,233,,,
438788,233,,,
18005,233,,,
101296,233,,,
5685,233,,,
128058,233,,,
14785,233,,,
151029,232,,,
128686,232,,,
114173,232,,,
11960,232,,,
134544,232,,,
89094,232,,,
24366,230,,,
23886,230,,,
102863,230,,,
17327,230,,,
80942,230,,,
53462,230,,,
172601,230,,,
469932,230,,,
86625,229,,,
84301,228,,,
124675,228,,,
516187,228,,,
189522,227,,,
97881,227,,,
47769,227,,,
59650,227,,,
15718,227,,,
431759,226,,,
438457,226,,,
570796,226,,,
505610,226,,,
527879,225,,,
94314,225,,,
452219,224,,,
102769,224,,,
81861,224,,,
528851,224,,,
438333,223,,,
612,223,,,
5239,223,,,
5501,223,,,
118331,223,,,
502047,223,,,
4612,223,,,
11215,222,,,
37754,222,,,
13978,222,,,
34589,222,,,
34471,222,,,
21502,221,,,
95364,220,,,
45343,220,,,
536896,220,,,
534141,219,,,
580431,219,,,
5932,219,,,
3733,218,,,
595462,218,,,
462051,218,,,
590497,218,,,
38455,218,,,
96387,217,,,
551572,217,,,
170273,217,,,
64281,217,,,
411033,217,,,
118349,217,,,
41942,217,,,
14725,217,,,
488213,216,,,
11209,216,,,
11211,216,,,
17350,216,,,
401949,216,,,
53787,216,,,
467431,216,,,
95893,215,,,
151532,215,,,
160461,215,,,
5028,215,,,
166975,214,,,
374025,214,,,
446039,214,,,
533646,214,,,
445973,214,,,
20895,213,,,
29561,213,,,
92817,213,,,
54700,213,,,
166919,212,,,
11314,212,,,
472756,212,,,
25142,211,,,
110597,210,,,
53405,210,,,
10564,209,,,
136853,209,,,
454686,208,,,
45442,208,,,
451328,208,,,
505040,208,,,
42739,208,,,
537649,207,,,
2627,207,,,
23160,206,,,
78188,206,,,
6069,206,,,
157339,206,,,
137927,206,,,
180695,206,,,
108845,206,,,
4976,205,,,
451369,205,,,
76088,205,,,
24481,204,,,
90076,204,,,
579193,204,,,
184309,204,,,
577494,204,,,
3214,204,,,
546325,203,,,
451401,203,,,
516013,203,,,
4205,203,,,
517888,203,,,
5812,203,,,
49528,203,,,
162354,202,,,
5700,202,,,
2208,202,,,
455742,201,,,
146563,201,,,
580407,201,,,
73684,200,,,
1450,200,,,
573790,200,,,
9630,200,,,
9707,200,,,
24414,199,,,
13802,199,,,
112441,199,,,
507962,199,,,
41855,199,,,
13496,199,,,
23738,198,,,
162541,198,,,
93419,198,,,
533681,198,,,
23212,197,,,
177857,197,,,
7099,197,,,
110579,197,,,
449611,197,,,
17982,197,,,
142869,196,,,
7330,196,,,
117227,196,,,
93252,195,,,
55324,195,,,
529016,195,,,
77727,195,,,
5577,195,,,
116073,195,,,
469408,195,,,
139246,193,,,
441428,193,,,
413047,193,,,
67025,193,,,
17262,193,,,
7298,193,,,
77698,193,,,
517938,193,,,
35683,192,,,
19666,192,,,
31849,192,,,
123374,192,,,
63784,192,,,
25628,192,,,
478421,191,,,
156034,191,,,
